Polarity,Subjectivity,TopWord,Word%,WordCount,WordOccurence,Date
0.091549226,0.360915306,iran,4.485981308,535,24,4/23/2018
0.07345667,0.435361592,trump,4.182509506,526,22,4/23/2018
-0.045512821,0.499358974,us,4.411764706,136,6,4/23/2018
0.068801314,0.431029922,genocide,3.289473684,456,15,4/23/2018
0.043205677,0.364957325,iran,4.42804428,542,24,4/23/2018
0.098775403,0.398072541,market,1.916932907,313,6,4/23/2018
0.078617725,0.353080121,trump,2.415458937,207,5,4/23/2018
0.090191396,0.366615367,trump,3.3203125,512,17,4/23/2018
0.127497774,0.488202926,trump,4.523424879,619,28,4/24/2018
0.091549226,0.360915306,iran,4.485981308,535,24,4/24/2018
-0.045512821,0.499358974,us,4.411764706,136,6,4/24/2018
0.043205677,0.364957325,iran,4.42804428,542,24,4/24/2018
0.098775403,0.398072541,market,1.923076923,312,6,4/24/2018
0.070376137,0.368799527,us,3.684210526,380,14,4/24/2018
0.001488826,0.294688195,hide,5.128205128,468,24,4/24/2018
0.131689815,0.33962963,videos,2.325581395,473,11,4/24/2018
0.140770609,0.449398361,ban,4.426559356,497,22,4/24/2018
0.076665705,0.432222259,brief,2.028985507,690,14,4/24/2018
-0.045512821,0.499358974,us,4.411764706,136,6,4/25/2018
0.043205677,0.364957325,iran,4.42804428,542,24,4/25/2018
0.098775403,0.398072541,market,1.916932907,313,6,4/25/2018
0.070376137,0.368799527,us,3.684210526,380,14,4/25/2018
0.001488826,0.294688195,hide,5.128205128,468,24,4/25/2018
0.140770609,0.449398361,ban,4.426559356,497,22,4/25/2018
