,Polarity,Subjectivity,TopWord,Word%,WordCount,WordOccurence
0,0.005086266390614207,0.3060904071773637,said,3.816793893129771,393.0,15.0
1,0.027372694240164138,0.42263222052378674,missiles,5.0,440.0,22.0
2,0.1521581359816654,0.46224455691367444,elections,2.631578947368421,456.0,12.0
3,0.0400288964682904,0.42615385456294536,government,1.1004126547455295,727.0,8.0
4,0.05847363945578232,0.4614810090702948,technology,1.7543859649122806,456.0,8.0
5,0.019140211640211645,0.4678703703703704,brexit,2.549019607843137,510.0,13.0
6,0.061111392947330444,0.3617765264249639,iran,4.13625304136253,411.0,17.0
7,0.0879391356243208,0.32392932855895823,french,3.0927835051546393,388.0,12.0
8,0.0938485369155472,0.3563216108061468,strikes,0.9929078014184398,705.0,7.0
9,-0.04439839310209681,0.38899470899470906,syria,2.956989247311828,372.0,11.0
10,0.010416666666666664,0.6258333333333332,image,3.1578947368421053,190.0,6.0
11,0.03152189888301,0.4136610817166372,said,4.0,375.0,15.0
12,0.07974620151090736,0.39766573295985064,said,4.3383947939262475,461.0,20.0
13,0.12953854875283446,0.5559009826152682,debate,1.0266940451745379,487.0,5.0
14,0.0,0.0,search,20.0,10.0,2.0
15,0.03504070205157162,0.42358201581027677,said,2.7777777777777777,540.0,15.0
16,0.026476423902894498,0.5023401027077495,united,2.6252983293556085,419.0,11.0
17,0.030753413253413266,0.4592431642431641,even,1.3582342954159592,589.0,8.0
18,0.08757761437908497,0.37576797385620925,minister,1.8691588785046727,428.0,8.0
19,0.06138888888888889,0.38035947712418294,us,5.0,340.0,17.0
