,Polarity,Subjectivity,TopWord,Word%,WordCount,WordOccurence
0,0.0,0.0,chat,5.88235294117647,17.0,1.0
1,-0.1,0.1,syria,4.651162790697675,43.0,2.0
2,0.05453922021883185,0.3610194174757282,syria,3.492063492063492,630.0,22.0
3,0.055591835563426485,0.3737365538501903,syrian,3.076923076923077,520.0,16.0
4,0.11116452543871903,0.38109068798584944,us,3.4013605442176873,588.0,20.0
5,0.15353535353535352,0.36252525252525253,apartment,4.411764705882353,136.0,6.0
6,0.14375,0.32708333333333334,cnn,3.614457831325301,83.0,3.0
7,0.04900726010101013,0.36151086760461787,report,3.7735849056603774,848.0,32.0
8,0.225,0.375,mission,7.142857142857142,28.0,2.0
9,0.0,0.0,chat,5.88235294117647,17.0,1.0
10,0.0,0.0,chat,5.88235294117647,17.0,1.0
11,0.05416000416000417,0.34660537160537147,syria,7.455429497568882,1234.0,92.0
12,0.05,0.35,department,3.8461538461538463,26.0,1.0
13,-0.1,0.1,us,3.8461538461538463,26.0,1.0
14,0.02102077109119362,0.25291222079954473,said,3.559870550161812,618.0,22.0
15,0.0,0.0,chat,5.88235294117647,17.0,1.0
16,0.0,0.0,chat,5.88235294117647,17.0,1.0
17,0.0,0.0,chat,5.88235294117647,17.0,1.0
18,0.2,0.15,interview,2.564102564102564,39.0,1.0
19,0.12062337662337663,0.475022977022977,watched,1.2345679012345678,486.0,6.0
