,Polarity,Subjectivity,TopWord,Word%,WordCount,WordOccurence
0,0.04373232323232323,0.3937373737373737,europe,3.597122302158273,139.0,5.0
1,-0.03233082706766917,0.2657894736842105,russia,2.877697841726619,139.0,4.0
2,-0.012644300144300144,0.247005772005772,said,3.816793893129771,131.0,5.0
3,0.053125000000000006,0.396875,chemical,3.8834951456310676,103.0,4.0
4,-0.036607142857142845,0.29375,obama,4.37956204379562,137.0,6.0
5,-0.1649047291092746,0.328868227731864,air,5.298013245033113,151.0,8.0
6,0.079780870681606,0.301937441643324,said,3.8461538461538463,390.0,15.0
7,0.04297619047619049,0.304072039072039,said,2.5210084033613445,238.0,6.0
8,0.03758116883116883,0.30570887445887446,trump,3.3333333333333335,330.0,11.0
9,0.09763824884792627,0.37488479262672814,ruble,3.5294117647058822,170.0,6.0
10,-0.013913043478260853,0.3614492753623188,corker,6.0,200.0,12.0
11,-0.006904761904761906,0.25357142857142856,cyber,5.490196078431373,255.0,14.0
12,-0.029166666666666667,0.2778645833333333,oil,2.4242424242424243,165.0,4.0
13,-0.026461038961038946,0.40584415584415584,russia,2.2222222222222223,225.0,5.0
14,-0.0024118738404452686,0.28700718923933205,dollar,3.064066852367688,359.0,11.0
15,0.05622400475341652,0.3395870469399881,cnbc,2.604166666666667,192.0,5.0
16,0.3051282051282051,0.5153846153846154,percent,7.086614173228346,127.0,9.0
17,0.07323656735421441,0.3240355233002292,cnbc,2.1604938271604937,324.0,7.0
18,0.1803875511063011,0.41290163540163544,know,8.403361344537815,476.0,40.0
19,0.2050657386320893,0.46437215759490685,know,6.6874027993779155,643.0,43.0
