,Polarity,Subjectivity,TopWord,Word%,WordCount,WordOccurence
0,0.0878686299081036,0.3054700854700854,twitter,2.2838499184339316,613.0,14.0
1,0.04143278018278019,0.3558661014911016,chemical,4.3624161073825505,596.0,26.0
2,0.08170289855072464,0.34836956521739126,chemical,3.0985915492957745,355.0,11.0
3,0.005288078149920255,0.34408891547049436,syria,4.028436018957346,422.0,17.0
4,0.08776392632524709,0.35982704402515736,said,3.209459459459459,592.0,19.0
5,0.02468434343434344,0.31257215007215006,haley,3.492063492063492,315.0,11.0
6,-0.0300453514739229,0.3396116780045352,brunson,3.6101083032490973,277.0,10.0
7,0.06526478015448606,0.34139185977421266,chemical,2.6143790849673203,459.0,12.0
8,-0.09756097560975611,0.2402908067542214,borodin,2.8213166144200628,319.0,9.0
9,0.036022727272727276,0.36840909090909085,new,2.2598870056497176,177.0,4.0
10,-0.06666666666666667,0.08888888888888889,strikes,5.88235294117647,34.0,2.0
11,0.07404863654863655,0.4462810337810338,asylum,3.2467532467532463,308.0,10.0
12,-0.3,0.4,least,4.545454545454546,22.0,1.0
13,0.0735877602156672,0.42189111491437076,russia,2.4232633279483036,619.0,15.0
14,0.023153310104529614,0.3335830429732869,chemical,3.314917127071823,362.0,12.0
15,-0.051851851851851864,0.2962962962962963,tunnels,3.125,32.0,1.0
16,0.11000000000000001,0.18666666666666668,palestinian,3.7735849056603774,53.0,2.0
17,-0.030884766785502078,0.4561146125116712,sweden,2.6490066225165565,453.0,12.0
18,0.005998523440383905,0.38674787744555184,turkey,2.3017902813299234,391.0,9.0
19,0.07128538700703649,0.35943380788741625,said,4.878048780487805,533.0,26.0
